中文普通名索引
中文普通名                                                                           英文普通名                     作用機制分類
一品松                                                                             EPN                       [IRAC] 1B
乙基克繁草                                                                           carfentrazone-ethyl       [HRAC] E
乙基派芬草                                                                           pyraflufen-ethyl          [HRAC] E
丁拉克普草成分之一                                                                       clomeprop                 [HRAC] O
丁基加保扶                                                                           carbosulfan               [IRAC] 1A
丁基拉草                                                                            butachlor                 [HRAC] K3
丁基滅必蝨                                                                           fenobucarb                [IRAC] 1A
丁基賽伏草                                                                           cyhalofop-P-butyl         [HRAC] A
乃力松                                                                             naled                     [IRAC] 1B
二四地                                                                             D, 2,4-                   [HRAC] O
二氟林                                                                             diflumetorim              [FRAC] 39, C1
二硫松                                                                             disulfoton                [IRAC] 1B
二氯甲氧苯                                                                           chloroneb                 [FRAC] 14, F3
二氯松                                                                             dichlorvos                [IRAC] 1B
二氯苯腈                                                                            dichlobenil               [HRAC] L
二福隆                                                                             diflubenzuron             [IRAC] 15
三元硫酸銅                                                                           tribasic copper sulfate   [FRAC] M1
三亞蟎                                                                             amitraz                   [IRAC] 19
三氟敏                                                                             trifloxystrobin           [FRAC] 11, C3
三苯羥錫                                                                            fentin hydroxide          [FRAC] 30, C6
三苯醋錫                                                                            fentin acetate            [FRAC] 30, C6
三泰芬                                                                             triadimefon               [FRAC] 3, G1
三泰隆                                                                             triadimenol               [FRAC] 3, G1
三得芬                                                                             tridemorph                [FRAC] 5, G2
三氯比                                                                             triclopyr-butotyl         [HRAC] O
三氯松                                                                             trichlorfon               [IRAC] 1B
三落松                                                                             triazophos                [IRAC] 1B
三福林                                                                             trifluralin               [HRAC] K1
三賽唑                                                                             tricyclazole              [FRAC] 16.1, I1
凡殺同                                                                             famoxadone                [FRAC] 11, C3
土黴素                                                                             oxytetracycline           [FRAC] 41, D5
大克草                                                                             chlorthal-dimethyl        [HRAC] K1
大克爛                                                                             dicloran                  [FRAC] 14, F3
大克蟎                                                                             dicofol                   [IRAC] un
大利松                                                                             diazinon                  [IRAC] 1B
大芬滅                                                                             diphenamid                [HRAC] K3
大滅松                                                                             dimethoate                [IRAC] 1B
五氯硝苯                                                                            quintozene                [FRAC] 14, F3
六伏隆                                                                             hexaflumuron                 [IRAC] 15
巴拉刈                                                                             paraquat                     [HRAC] D
巴拉松                                                                             parathion                    [IRAC] 1B
巴賽松                                                                             phoxim                       [IRAC] 1B
比加普                                                                             pirimicarb                   [IRAC] 1A
比多農                                                                             bitertanol                   [FRAC] 3, G1
比芬諾                                                                             pyrifenox                    [FRAC] 3, G1
比達寧                                                                             butralin                     [HRAC] K1
丙基喜樂松                                                                           iprobenfos                   [FRAC] 6, F2
加保利                                                                             carbaryl                     [IRAC] 1A
加保扶                                                                             carbofuran                   [IRAC] 1A
加普胺                                                                             carpropamid                  [FRAC] 16.2, I2
加福松                                                                             isoxathion                   [IRAC] 1B
加撲草                                                                             MCPB-ethyl                   [HRAC] O
可尼丁                                                                             clothianidin                 [IRAC] 4A
可芬諾                                                                             chromafenozide               [IRAC] 18
可滅蹤                                                                             clomazone                    [HRAC] F3
可奪草                                                                             fluometuron                  [HRAC] C2
右本達樂                                                                            benalaxyl-M                  [FRAC] 4, A1
右滅達樂                                                                            metalaxyl-M                  [FRAC] 4, A1
四克利                                                                             tetraconazole                [FRAC] 3, G1
四氯丹                                                                             captafol                     [FRAC] M4
四氯異苯腈                                                                           chlorothalonil               [FRAC] M5
四環黴素                                                                            tetracycline hydrochloride   [FRAC] 41, D5
尼瑞莫                                                                             nuarimol                     [FRAC] 3, G1
左旋莫多草                                                                           metolachlor, S-              [HRAC] K3
布芬草                                                                             butafenacil                  [HRAC] E
布芬淨                                                                             buprofezin                   [IRAC] 16
布瑞莫                                                                             bupirimate                   [FRAC] 8, A2
平克座                                                                             penconazole                  [FRAC] 3, G1
平速爛                                                                             penoxsulam                   [HRAC] B
必汰草                                                                             pyridate                     [HRAC] C3
必芬松                                                                             pyridaphenthion              [IRAC] 1B
必芬諾                                                                             bifenox                      [HRAC] E
必芬蟎                                                                             bifenazate                   [IRAC] un
本達隆                                                                             bentazone                    [HRAC] C3
本達樂                                                                             benalaxyl                    [FRAC] 4, A1
甲氧基護谷                                                                           chlomethoxynil               [HRAC] E
甲基巴拉松                                                                           parathion-methyl              [IRAC] 1B
甲基合氯氟                                                                           haloxyfop-P-methyl            [HRAC] A
甲基多保淨                                                                           thiophanate-methyl            [FRAC] 1, B1
甲基益發靈                                                                           tolyfluanid                   [FRAC] M6
甲基砷酸鈣                                                                      MAC, calcium methylarsonate      [HRAC] Z
甲基砷酸鈉                                                                      MSMA, monosodium methylarsonate  [HRAC] Z
甲基鋅乃浦                                                                           propineb                      [FRAC] M3
白克列                                                                             boscalid                      [FRAC] 7, C2
白克松                                                                             pyraclofos                    [IRAC] 1B
白粉克                                                                             dinocap                       [FRAC] 29, C5
白粉松                                                                             pyrazophos                    [FRAC] 6, F2
伏寄普                                                                             fluazifop-P-butyl             [HRAC] A
伏速隆                                                                             flazasulfuron                 [HRAC] B
印楝素                                                                             azadirachtin                  [IRAC] un
合芬寧                                                                             halfenprox                    [IRAC] 3A
合速隆                                                                             halosulfuron-methyl           [HRAC] B
合賽多                                                                             hexythiazox                   [IRAC] 10A
因得克                                                                             indoxacarb                    [IRAC] 22A
因滅汀                                                                             emamectin benzoate            [IRAC] 6
多保淨                                                                             thiophanate                   [FRAC] 1, B1
多寧                                                                              dodine                        [FRAC] U12
好達勝                                                                             aluminium phosphide           [IRAC] 24A
安丹                                                                              propoxur                      [IRAC] 1A
安美速                                                                             amisulbrom                    [FRAC] 21, C4
安殺番                                                                             endosulfan                    [IRAC] 2A
托福松                                                                             terbufos                      [IRAC] 1B
百克敏                                                                             pyraclostrobin                [FRAC] 11, C3
百利普芬                                                                            pyriproxyfen                  [IRAC] 7C
百快隆                                                                             pyroquilon                    [FRAC] 16.1, I1
百速隆                                                                             pyrazosulfuron-ethyl          [HRAC] B
百滅寧                                                                             permethrin                    [IRAC] 3A
百蟎克                                                                             binapacryl                    [FRAC] 29, C5
西殺草                                                                             sethoxydim                    [HRAC] A
西脫蟎                                                                             benzoximate                   [IRAC] un
西速隆                                                                             cinosulfuron                  [HRAC] B
伽瑪賽洛寧                                                                           cyhalothrin, gamma-           [IRAC] 3A
佈飛松                                                                             profenofos                    [IRAC] 1B
佈滅淨                                                                             prometryn                     [HRAC] C1
佈嘉信                                                                             butocarboxim                    [IRAC] 1A
克乃達                                                                             TCA-sodium                      [HRAC] N
克凡派                                                                             chlorfenapyr                    [IRAC] 13
克收欣                                                                             kresoxim-methyl                 [FRAC] 11, C3
克芬蟎                                                                             clofentezine                    [IRAC] 10A
克枯爛                                                                             tecloftalam                     [FRAC] 34, un03
克草                                                                              bromacil                        [HRAC] C1
克氯得                                                                             chlozolinate                    [FRAC] 2, E3
克絕                                                                              cymoxanil                       [FRAC] 27, un01
克福隆                                                                             chlorfluazuron                  [IRAC] 15
克熱淨                                                                             iminoctadine triacetate         [FRAC] M7
克熱淨(烷苯磺酸鹽)                                                                      iminoctadine tris(albesilate)   [FRAC] M7
克爛本                                                                             chloramben                      [HRAC] O
免克寧                                                                             vinclozolin                     [FRAC] 2, E3
免扶克                                                                             benfuracarb                     [IRAC] 1A
免得爛                                                                             metiram complex                 [FRAC] M3
免速隆                                                                             bensulfuron-methyl              [HRAC] B
免速達                                                                             bensultap                       [IRAC] 14
免敵克                                                                             bendiocarb                      [IRAC] 1A
免賴得                                                                             benomyl                         [FRAC] 1, B1
快伏草                                                                             quizalofop-P-ethyl              [HRAC] A
快克草                                                                             quinclorac                      [HRAC] L & O
快得寧                                                                             oxine-copper                    [FRAC] M1
快諾芬                                                                             quinoxyfen                      [FRAC] 13, E1
扶吉胺                                                                             fluazinam                       [FRAC] 29, C5
汰克草                                                                             dicamba                         [HRAC] O
汰芬隆                                                                             diafenthiuron                   [IRAC] 12A
汰草滅                                                                             dimethenamid                    [HRAC] K3
汰草龍                                                                             daimuron                        [HRAC] Z
汰硫草                                                                             dithiopyr                       [HRAC] K1
谷速松                                                                             azinphos-methyl                 [IRAC] 1B
貝他賽扶寧                                                                           cyfluthrin, beta-               [IRAC] 3A
貝芬替                                                                             carbendazim                     [FRAC] 1, B1
亞托敏                                                                             azoxystrobin                    [FRAC] 11, C3
亞汰草                                                                             alloxydim-sodium                [HRAC] A
亞汰尼                                                                             isotianil                       [FRAC] P, P3
亞芬松                                                                             isofenphos                      [IRAC] 1B
亞烈寧                                                                             allethrin                       [IRAC] 3A
